Local time,Open,High,Low,Close,Volume
01.05.2024 23:30:00.000 GMT+0530,1.06755,1.07329,1.06712,1.07285,45412.9414
02.05.2024 00:30:00.000 GMT+0530,1.07283,1.07304,1.06892,1.06896,22160.1699
02.05.2024 01:30:00.000 GMT+0530,1.06893,1.07231,1.06868,1.07130,12550.79
02.05.2024 02:30:00.000 GMT+0530,1.07140,1.07201,1.07082,1.07133,7898.4702
02.05.2024 03:30:00.000 GMT+0530,1.07133,1.07219,1.07133,1.07168,2289.25
02.05.2024 04:30:00.000 GMT+0530,1.07169,1.07183,1.07121,1.07172,3447.0601
02.05.2024 05:30:00.000 GMT+0530,1.07171,1.07172,1.07097,1.07119,4135.3701
02.05.2024 06:30:00.000 GMT+0530,1.07118,1.07158,1.07072,1.07155,5884.9102
02.05.2024 07:30:00.000 GMT+0530,1.07155,1.07210,1.07155,1.07189,4375.8999
02.05.2024 08:30:00.000 GMT+0530,1.07190,1.07190,1.07128,1.07147,3764.79
02.05.2024 09:30:00.000 GMT+0530,1.07148,1.07205,1.07144,1.07178,3208.5801
02.05.2024 10:30:00.000 GMT+0530,1.07178,1.07206,1.07125,1.07162,3401.4199
02.05.2024 11:30:00.000 GMT+0530,1.07163,1.07275,1.07137,1.07178,8826.9805
02.05.2024 12:30:00.000 GMT+0530,1.07177,1.07284,1.07130,1.07156,13141.0898
02.05.2024 13:30:00.000 GMT+0530,1.07155,1.07192,1.07001,1.07043,13974.3496
02.05.2024 14:30:00.000 GMT+0530,1.07043,1.07091,1.06958,1.07034,6841.3701
02.05.2024 15:30:00.000 GMT+0530,1.07033,1.07062,1.06968,1.07040,5850.5601
02.05.2024 16:30:00.000 GMT+0530,1.07041,1.07062,1.06956,1.07025,7841.0098
02.05.2024 17:30:00.000 GMT+0530,1.07026,1.07124,1.06936,1.07013,15217.5596
02.05.2024 18:30:00.000 GMT+0530,1.07013,1.07034,1.06803,1.06869,21406.6406
02.05.2024 19:30:00.000 GMT+0530,1.06868,1.06908,1.06743,1.06884,15997.4502
02.05.2024 20:30:00.000 GMT+0530,1.06885,1.07084,1.06860,1.07051,10926.2197
02.05.2024 21:30:00.000 GMT+0530,1.07054,1.07218,1.07020,1.07167,7454.8398
02.05.2024 22:30:00.000 GMT+0530,1.07169,1.07230,1.07141,1.07196,4918.6602
02.05.2024 23:30:00.000 GMT+0530,1.07196,1.07304,1.07183,1.07304,5588.0601
03.05.2024 00:30:00.000 GMT+0530,1.07303,1.07303,1.07235,1.07273,6041.77
03.05.2024 01:30:00.000 GMT+0530,1.07272,1.07280,1.07249,1.07258,2493.27
03.05.2024 02:30:00.000 GMT+0530,1.07258,1.07281,1.07243,1.07255,2285.3799
03.05.2024 03:30:00.000 GMT+0530,1.07254,1.07298,1.07250,1.07292,1066.6
03.05.2024 04:30:00.000 GMT+0530,1.07291,1.07310,1.07282,1.07300,1901.2
03.05.2024 05:30:00.000 GMT+0530,1.07301,1.07317,1.07246,1.07315,3901.3
03.05.2024 06:30:00.000 GMT+0530,1.07314,1.07397,1.07310,1.07375,4825.5498
03.05.2024 07:30:00.000 GMT+0530,1.07373,1.07377,1.07328,1.07334,3118.3201
03.05.2024 08:30:00.000 GMT+0530,1.07333,1.07353,1.07316,1.07350,2301.48
03.05.2024 09:30:00.000 GMT+0530,1.07351,1.07362,1.07324,1.07324,3114.0601
03.05.2024 10:30:00.000 GMT+0530,1.07323,1.07382,1.07320,1.07359,2887.21
03.05.2024 11:30:00.000 GMT+0530,1.07360,1.07362,1.07299,1.07301,4747.48
03.05.2024 12:30:00.000 GMT+0530,1.07300,1.07382,1.07247,1.07347,6892.54
03.05.2024 13:30:00.000 GMT+0530,1.07347,1.07443,1.07326,1.07429,6142.2798
03.05.2024 14:30:00.000 GMT+0530,1.07429,1.07480,1.07404,1.07433,5442.6499
03.05.2024 15:30:00.000 GMT+0530,1.07432,1.07457,1.07389,1.07434,4188.6201
03.05.2024 16:30:00.000 GMT+0530,1.07433,1.07498,1.07426,1.07457,7102.1602
03.05.2024 17:30:00.000 GMT+0530,1.07457,1.08128,1.07438,1.07939,27319.3594
03.05.2024 18:30:00.000 GMT+0530,1.07938,1.07964,1.07711,1.07773,28942.0703
03.05.2024 19:30:00.000 GMT+0530,1.07773,1.07986,1.07517,1.07659,37710.4883
03.05.2024 20:30:00.000 GMT+0530,1.07660,1.07803,1.07639,1.07692,13490.7803
03.05.2024 21:30:00.000 GMT+0530,1.07692,1.07734,1.07617,1.07636,7510.8501
03.05.2024 22:30:00.000 GMT+0530,1.07636,1.07677,1.07593,1.07650,3545.3501
03.05.2024 23:30:00.000 GMT+0530,1.07650,1.07683,1.07638,1.07674,3832.1399
04.05.2024 00:30:00.000 GMT+0530,1.07675,1.07695,1.07639,1.07643,10071.5
04.05.2024 01:30:00.000 GMT+0530,1.07642,1.07670,1.07625,1.07638,3517.02
06.05.2024 02:30:00.000 GMT+0530,1.07655,1.07662,1.07622,1.07645,283.04
06.05.2024 03:30:00.000 GMT+0530,1.07644,1.07652,1.07618,1.07627,1396.58
06.05.2024 04:30:00.000 GMT+0530,1.07626,1.07650,1.07577,1.07585,2792.5801
06.05.2024 05:30:00.000 GMT+0530,1.07585,1.07690,1.07554,1.07676,2751.1499
06.05.2024 06:30:00.000 GMT+0530,1.07675,1.07710,1.07629,1.07702,4242.1401
06.05.2024 07:30:00.000 GMT+0530,1.07703,1.07717,1.07650,1.07655,3520.8799
06.05.2024 08:30:00.000 GMT+0530,1.07654,1.07670,1.07624,1.07650,3678.0601
